"","Year","mean_yield"
"1",1961,46822.2527352297
"2",1962,47316.9978118162
"3",1963,48312.52297593
"4",1964,49877.8315098468
"5",1965,49153.8380743983
"6",1966,50023.6354733406
"7",1967,50983.3184782609
"8",1968,50928.275974026
"9",1969,50923.1340540541
"10",1970,51770.272335845
"11",1971,52535.3336898396
"12",1972,52762.8249733191
"13",1973,53246.785106383
"14",1974,53349.8480340064
"15",1975,53118.6822033898
"16",1976,53220.3049421661
"17",1977,54033.5634837356
"18",1978,55240.7431865828
"19",1979,55940.5842931937
"20",1980,55997.1610878661
"21",1981,57076.9989539749
"22",1982,56718.9435736677
"23",1983,56379.2168925965
"24",1984,58628.0291666667
"25",1985,59184.0922279793
"26",1986,59094.9701030928
"27",1987,59793.1969072165
"28",1988,59889.824795082
"29",1989,61073.9014227642
"30",1990,60843.7300303337
"31",1991,61382.1762917933
"32",1992,61525.1519699813
"33",1993,62511.3665116279
"34",1994,61861.18721038
"35",1995,62914.8184331797
"36",1996,64342.052631579
"37",1997,63927.1471941123
"38",1998,63580.8141674333
"39",1999,65815.4108455883
"40",2000,66925.9178082192
"41",2001,67777.0557586837
"42",2002,69043.8581884721
"43",2003,68339.4670932358
"44",2004,71504.7365542388
"45",2005,70793.1213503649
"46",2006,71382.9327272727
"47",2007,71850.1352087114
"48",2008,73669.9773550724
"49",2009,74985.2719854941
"50",2010,74609.0009041591
"51",2011,76889.2240289069
"52",2012,76287.178057554
"53",2013,78003.2502250225
"54",2014,79039.0821299639
"55",2015,78126.7175090253
"56",2016,79146.2691269127
