"","year","mean_temp"
"1",1891,16.7247826086957
"2",1892,16.6955072463768
"3",1893,16.4817101449275
"4",1894,16.8571014492754
"5",1895,16.7096231884058
"6",1896,16.9853623188406
"7",1897,16.9951594202899
"8",1898,17.0126376811594
"9",1899,17.0862898550725
"10",1900,17.1810724637681
"11",1901,16.9900579710145
"12",1902,16.986115942029
"13",1903,16.8453043478261
"14",1904,16.6981449275362
"15",1905,16.7830724637681
"16",1906,16.9615072463768
"17",1907,16.6672463768116
"18",1908,16.7906956521739
"19",1909,16.8292753623188
"20",1910,16.8473913043478
"21",1911,16.918231884058
"22",1912,16.7967826086957
"23",1913,16.9928405797101
"24",1914,17.1719130434783
"25",1915,17.1535652173913
"26",1916,16.9789275362319
"27",1917,16.5620579710145
"28",1918,16.889652173913
"29",1919,16.9995072463768
"30",1920,16.9708985507246
"31",1921,17.3012753623188
"32",1922,17.1065217391304
"33",1923,17.0655072463768
"34",1924,16.9407826086957
"35",1925,17.1106376811594
"36",1926,17.1916811594203
"37",1927,17.2026956521739
"38",1928,17.1648405797101
"39",1929,16.9124057971014
"40",1930,17.2571594202899
"41",1931,17.2726666666667
"42",1932,17.2517101449275
"43",1933,17.0380579710145
"44",1934,17.3117971014493
"45",1935,17.1699710144928
"46",1936,17.193884057971
"47",1937,17.2949565217391
"48",1938,17.4244927536232
"49",1939,17.3798260869565
"50",1940,17.1092463768116
"51",1941,17.389884057971
"52",1942,17.2129275362319
"53",1943,17.2857971014493
"54",1944,17.2810724637681
"55",1945,17.1741449275362
"56",1946,17.495652173913
"57",1947,17.3400289855072
"58",1948,17.3775362318841
"59",1949,17.4151304347826
"60",1950,17.1963188405797
"61",1951,17.340347826087
"62",1952,17.3994492753623
"63",1953,17.5310434782609
"64",1954,17.2513623188406
"65",1955,17.2583188405797
"66",1956,16.9051304347826
"67",1957,17.3129275362319
"68",1958,17.4692173913043
"69",1959,17.4593913043478
"70",1960,17.3654782608696
"71",1961,17.4914782608696
"72",1962,17.275884057971
"73",1963,17.2797971014493
"74",1964,17.159652173913
"75",1965,17.1767826086957
"76",1966,17.4336811594203
"77",1967,17.2247536231884
"78",1968,17.1462028985507
"79",1969,17.2024927536232
"80",1970,17.3119710144928
"81",1971,17.1984347826087
"82",1972,17.2268405797101
"83",1973,17.4929275362319
"84",1974,17.2395072463768
"85",1975,17.3819420289855
"86",1976,16.9762028985507
"87",1977,17.5240579710145
"88",1978,17.2642898550725
"89",1979,17.4301739130435
"90",1980,17.3801739130435
"91",1981,17.5114782608696
"92",1982,17.4332173913043
"93",1983,17.5979710144928
"94",1984,17.3056231884058
"95",1985,17.2783768115942
"96",1986,17.4433333333333
"97",1987,17.6618550724638
"98",1988,17.6564347826087
"99",1989,17.5936231884058
"100",1990,17.978347826087
"101",1991,17.6577971014493
"102",1992,17.5290144927536
"103",1993,17.4621739130435
"104",1994,17.8259710144928
"105",1995,17.8328115942029
"106",1996,17.4598550724638
"107",1997,17.7294782608696
"108",1998,18.2523188405797
"109",1999,18.0492463768116
"110",2000,17.9261739130435
"111",2001,18.0233043478261
"112",2002,18.1869565217391
"113",2003,18.0024927536232
"114",2004,18.0278260869565
"115",2005,18.0042608695652
"116",2006,18.1778260869565
"117",2007,18.2229565217391
"118",2008,17.9817101449275
"119",2009,18.1003768115942
"120",2010,18.1104927536232
"121",2011,17.9543768115942
"122",2012,18.1417391304348
"123",2013,18.6816231884058
